Duration,Mem,Cpu
77,713293824,6
77,713244672,6
76,715112448,6
76,713236480,6
76,713510912,6
75,713510912,6
74,713478144,6
74,713244672,6
73,713498624,6
73,713244672,6
72,716595200,6
71,712892416,6
70,714596352,6
69,713977856,6
69,713404416,6
68,713244672,6
67,713371648,6
66,713236480,6
66,713256960,6
65,715608064,6
64,713269248,6
63,713146368,6
62,712503296,6
62,715485184,6
61,715239424,6
60,712863744,6
59,712253440,6
59,714350592,6
59,713379840,6
58,713371648,6
57,713760768,6
56,714727424,6
56,713613312,6
55,715485184,6
55,714469376,6
55,713396224,6
54,714608640,6
54,712990720,6
54,713523200,6
53,716488704,6
53,714088448,6
53,713396224,6
52,713408512,6
52,713113600,6
52,713396224,6
52,713396224,6
51,715108352,6
50,712495104,6
50,713416704,6
50,713244672,6
49,713416704,6
49,716103680,6
49,714571776,6
49,714223616,6
49,713351168,6
49,713232384,6
48,713478144,6
48,713760768,6
47,713760768,6
46,713289728,6
46,716230656,6
46,713854976,6
46,713863168,6
45,713695232,6
45,715862016,6
45,714350592,6
44,715112448,6
43,713416704,6
43,714956800,6
43,715362304,6
43,715239424,6
42,716361728,6
42,715472896,6
42,713351168,6
42,713240576,6
41,716361728,6
40,715857920,6
40,714985472,6
40,715112448,6
40,714113024,6
40,713732096,6
40,713351168,6
39,713285632,6
39,715612160,6
39,715612160,6
39,715235328,6
39,713728000,6
39,713728000,6
39,713351168,6
39,713523200,6
38,712622080,6
38,716361728,6
38,715710464,6
38,715362304,6
38,715366400,6
38,715366400,6
38,714735616,6
38,714989568,6
38,714571776,6
38,713113600,6
38,713396224,6
37,712630272,6
37,715739136,6
37,715616256,6
37,714342400,6
37,714215424,6
37,714223616,6
36,715988992,6
36,715239424,6
36,714215424,6
36,714723328,6
36,714219520,6
36,714223616,6
36,713351168,6
36,713396224,6
36,713269248,6
35,713568256,6
35,712495104,6
35,713543680,6
35,713416704,6
35,714862592,6
35,714342400,6
35,714350592,6
35,714481664,6
35,713863168,6
35,713609216,6
34,712376320,6
34,713416704,6
34,715612160,6
34,715239424,6
34,714473472,6
34,713854976,6
34,713019392,6
33,712884224,6
33,713416704,6
33,715739136,6
33,714473472,6
33,713990144,6
32,712495104,6
32,715612160,6
32,715239424,6
32,714477568,6
32,714596352,6
32,714600448,6
32,714600448,6
32,714727424,6
32,713728000,6
32,713863168,6
32,713359360,6
32,713359360,6
31,715235328,6
31,714076160,6
31,713416704,6
31,715231232,6
31,715366400,6
31,715493376,6
31,714985472,6
31,714727424,6
31,714600448,6
31,713113600,6
31,713510912,6
31,713637888,6
30,714817536,6
30,715235328,6
30,715362304,6
30,715112448,6
30,714735616,6
30,714727424,6
30,714719232,6
30,713359360,6
30,712892416,6
29,713822208,6
29,716103680,6
29,716115968,6
29,715489280,6
29,715108352,6
29,714215424,6
29,713498624,6
29,713396224,6
28,714702848,6
28,712376320,6
28,716103680,6
28,715735040,6
28,714215424,6
28,714727424,6
28,714600448,6
27,715108352,6
27,712376320,6
27,713281536,6
27,715616256,6
27,715100160,6
27,713728000,6
26,714862592,6
26,713359360,6
25,715616256,6
24,715108352,6
24,715108352,6
24,713695232,6
24,715735040,6
23,715108352,6
23,715235328,6
21,714600448,6
