phoneType,iosVersion,embedMod,Mem,Duration,networkType,methodName,Cpu
"iPhone4,1",7.0.2,1,22,247,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,160,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,167,1,conn_sync,17
"iPhone4,1",7.0.2,1,22,48,1,conn_sync,40
"iPhone4,1",7.0.2,1,22,105,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,78,1,conn_sync,25
"iPhone4,1",7.0.2,1,22,158,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,112,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,92,1,conn_sync,20
"iPhone4,1",7.0.2,1,23,152,1,conn_sync,12
"iPhone4,1",7.0.2,1,23,81,1,conn_sync,28
"iPhone4,1",7.0.2,1,23,46,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,63,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,37,1,conn_sync,25
"iPhone4,1",7.0.2,1,23,75,1,conn_sync,28
"iPhone4,1",7.0.2,1,23,309,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,802,1,conn_sync,6
"iPhone4,1",7.0.2,1,23,140,1,conn_sync,14
"iPhone4,1",7.0.2,1,23,82,1,conn_sync,25
"iPhone4,1",7.0.2,1,24,184,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,103,1,conn_sync,20
"iPhone4,1",7.0.2,1,24,116,1,conn_sync,16
"iPhone4,1",7.0.2,1,24,272,1,conn_sync,7
"iPhone4,1",7.0.2,1,24,130,1,conn_sync,14
"iPhone4,1",7.0.2,1,24,183,1,conn_sync,11
"iPhone4,1",7.0.2,1,24,91,1,conn_sync,22
"iPhone4,1",7.0.2,1,24,41,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,95,1,conn_sync,30
"iPhone4,1",7.0.2,1,24,64,1,conn_sync,16
"iPhone4,1",7.0.2,1,24,44,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,396,1,conn_sync,5
"iPhone4,1",7.0.2,1,25,87,1,conn_sync,22
"iPhone4,1",7.0.2,1,25,72,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,373,1,conn_sync,10
"iPhone4,1",7.0.2,1,25,144,1,conn_sync,7
"iPhone4,1",7.0.2,1,25,182,1,conn_sync,22
"iPhone4,1",7.0.2,1,25,122,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,167,1,conn_sync,17
"iPhone4,1",7.0.2,1,25,75,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,77,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,97,1,conn_sync,22
"iPhone4,1",7.0.2,1,25,478,1,conn_sync,8
"iPhone4,1",7.0.2,1,26,1108,1,conn_sync,4
"iPhone4,1",7.0.2,1,26,540,1,conn_sync,5
"iPhone4,1",7.0.2,1,26,606,1,conn_sync,6
"iPhone4,1",7.0.2,1,25,568,1,conn_sync,12
"iPhone4,1",7.0.2,1,21,915,1,conn_sync,16
"iPhone4,1",7.0.2,1,21,550,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,1385,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,612,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,2372,1,conn_sync,3
"iPhone4,1",7.0.2,1,22,168,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,1027,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,101,1,conn_sync,20
"iPhone4,1",7.0.2,1,22,79,1,conn_sync,22
"iPhone4,1",7.0.2,1,22,124,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,117,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,519,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,355,1,conn_sync,8
"iPhone4,1",7.0.2,1,23,234,1,conn_sync,12
"iPhone4,1",7.0.2,1,23,104,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,114,1,conn_sync,18
"iPhone4,1",7.0.2,1,23,159,1,conn_sync,12
"iPhone4,1",7.0.2,1,23,523,1,conn_sync,5
"iPhone4,1",7.0.2,1,21,784,1,conn_sync,11
"iPhone4,1",7.0.2,1,21,123,1,conn_sync,15
"iPhone4,1",7.0.2,1,22,679,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,1258,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,1558,1,conn_sync,3
"iPhone4,1",7.0.2,1,22,599,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,744,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,375,1,conn_sync,7
"iPhone4,1",7.0.2,1,22,402,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,59,1,conn_sync,33
"iPhone4,1",7.0.2,1,22,571,1,conn_sync,8
"iPhone4,1",7.0.2,1,22,111,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,83,1,conn_sync,22
"iPhone4,1",7.0.2,1,23,79,1,conn_sync,14
"iPhone4,1",7.0.2,1,23,84,1,conn_sync,22
"iPhone4,1",7.0.2,1,23,27,1,conn_sync,66
"iPhone4,1",7.0.2,1,23,97,1,conn_sync,20
"iPhone4,1",7.0.2,1,23,1557,1,conn_sync,3
"iPhone4,1",7.0.2,1,23,1111,1,conn_sync,4
"iPhone4,1",7.0.2,1,21,1021,1,conn_sync,11
"iPhone4,1",7.0.2,1,21,501,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,157,1,conn_sync,12
"iPhone4,1",7.0.2,1,22,140,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,437,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,252,1,conn_sync,8
"iPhone4,1",7.0.2,1,22,347,1,conn_sync,8
"iPhone4,1",7.0.2,1,22,183,1,conn_sync,15
"iPhone4,1",7.0.2,1,22,1426,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,325,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,2239,1,conn_sync,20
"iPhone4,1",7.0.2,1,21,3170,1,conn_sync,4
"iPhone4,1",7.0.2,1,21,60,1,conn_sync,33
"iPhone4,1",7.0.2,1,22,133,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,44,1,conn_sync,50
"iPhone4,1",7.0.2,1,22,808,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,360,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,109,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,451,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,903,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,1167,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,224,1,conn_sync,13
"iPhone4,1",7.0.2,1,22,2407,1,conn_sync,3
"iPhone4,1",7.0.2,1,22,1178,1,conn_sync,4
"iPhone4,1",7.0.2,1,23,1105,1,conn_sync,4
"iPhone4,1",7.0.2,1,23,38,1,conn_sync,40
"iPhone4,1",7.0.2,1,21,1847,1,conn_sync,7
"iPhone4,1",7.0.2,1,21,1202,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,565,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,104,1,conn_sync,10
"iPhone4,1",7.0.2,1,22,671,1,conn_sync,5
"iPhone4,1",7.0.2,1,22,979,1,conn_sync,6
"iPhone4,1",7.0.2,1,22,835,1,conn_sync,4
"iPhone4,1",7.0.2,1,22,29,1,conn_sync,75
"iPhone4,1",7.0.2,1,22,70,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,27,1,conn_sync,66
"iPhone4,1",7.0.2,1,22,134,1,conn_sync,14
"iPhone4,1",7.0.2,1,22,78,1,conn_sync,25
"iPhone4,1",7.0.2,1,22,67,1,conn_sync,25
"iPhone4,1",7.0.2,1,22,32,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,38,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,60,1,conn_sync,28
"iPhone4,1",7.0.2,1,23,32,1,conn_sync,66
"iPhone4,1",7.0.2,1,23,23,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,28,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,24,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,30,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,43,1,conn_sync,40
"iPhone4,1",7.0.2,1,23,28,1,conn_sync,33
"iPhone4,1",7.0.2,1,23,31,1,conn_sync,50
"iPhone4,1",7.0.2,1,23,32,1,conn_sync,33
"iPhone4,1",7.0.2,1,24,78,1,conn_sync,25
"iPhone4,1",7.0.2,1,24,123,1,conn_sync,15
"iPhone4,1",7.0.2,1,24,54,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,49,1,conn_sync,50
"iPhone4,1",7.0.2,1,24,327,1,conn_sync,12
"iPhone4,1",7.0.2,1,24,35,1,conn_sync,80
"iPhone4,1",7.0.2,1,24,58,1,conn_sync,40
"iPhone4,1",7.0.2,1,24,63,1,conn_sync,42
"iPhone4,1",7.0.2,1,24,80,1,conn_sync,22
"iPhone4,1",7.0.2,1,24,165,1,conn_sync,12
"iPhone4,1",7.0.2,1,24,59,1,conn_sync,28
"iPhone4,1",7.0.2,1,24,151,1,conn_sync,14
"iPhone4,1",7.0.2,1,25,28,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,35,1,conn_sync,33
"iPhone4,1",7.0.2,1,25,79,1,conn_sync,25
"iPhone4,1",7.0.2,1,25,398,1,conn_sync,9
"iPhone4,1",7.0.2,1,25,321,1,conn_sync,9
"iPhone4,1",7.0.2,1,25,126,1,conn_sync,15
"iPhone4,1",7.0.2,1,25,44,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,223,1,conn_sync,8
"iPhone4,1",7.0.2,1,25,38,1,conn_sync,50
"iPhone4,1",7.0.2,1,25,96,1,conn_sync,20
"iPhone4,1",7.0.2,1,26,33,1,conn_sync,33
"iPhone4,1",7.0.2,1,26,48,1,conn_sync,40
"iPhone4,1",7.0.2,1,26,112,1,conn_sync,33
"iPhone4,1",7.0.2,1,26,82,1,conn_sync,12
"iPhone4,1",7.0.2,1,26,126,1,conn_sync,23
"iPhone4,1",7.0.2,1,26,144,1,conn_sync,13
"iPhone4,1",7.0.2,1,26,349,1,conn_sync,5
"iPhone4,1",7.0.2,1,26,81,1,conn_sync,33
"iPhone4,1",7.0.2,1,26,69,1,conn_sync,28
"iPhone4,1",7.0.2,1,25,104,1,conn_sync,72
"iPhone4,1",7.0.2,1,22,1067,1,conn_sync,21
"iPhone4,1",7.0.2,1,22,175,1,conn_sync,16
"iPhone4,1",7.0.2,1,22,78,1,conn_sync,28
"iPhone4,1",7.0.2,1,22,47,1,conn_sync,40
"iPhone4,1",7.0.2,1,22,70,1,conn_sync,28
"iPhone4,1",7.0.2,1,22,122,1,conn_sync,15
"iPhone4,1",7.0.2,1,22,313,1,conn_sync,9
"iPhone4,1",7.0.2,1,22,231,1,conn_sync,12
